Product_Category,Product_Name,Prodcut_Selling_Price,Prodcut_Mark_Price,Product_Rating,Product_link,Total_User,Product_subcategory1,Product_subcategory2,Product_ingredient,Product_Variety,Product_Availbility
makeup,"LIT Velvet Matte Liquid Lipstick - Fake ID (Magenta Shade) | Hydrating, Creamy, Full Coverage Liquid Lipstick With Vitamin E (1.6 ml)",₹299,₹375,5 ratings,https://www.myglamm.com/product/lit-velvet-matte-liquid-lipstick-fake-id-1-6ml.html,3961,Lip Makeup,Liquid Lipstick,"Fake ID - A magenta shade lipstick which is a mood in itself.
A smooth, creamy mousse formula, MyGlamm LIT Velvet Matte Liquid Lipstick is poppin’ with pigment. Fake ID is a magenta shade matte lipstick that gives one swipe pigmentation for super-saturated payoff. Infused with Vitamin E, this moisturising matte lipstick glides on the lips for a comfy and cushy feel. MyGlamm LIT Velvet Matte Liquid Lipstick is available in 12 vivid shades in an easy-to-carry pack for velvety lips that do all the talking (and more) - zero cake or flake!
The MyGlamm range is made for the multitasking woman who wants the most out of her makeup and skincare. It's all about glamour that's easy and accessible. Our makeup is rooted in innovation and created with the best skin-friendly ingredients. 
Manufacturer Detail:
VIVA Cosmetics, C1/1 to 6, Radheshyam Indl. Complex, Asangaon, Shahapur, Thane- 421 601.
Country of Origin: India
Net Weight: 1.6 ml
Dimensions: B-13 mm * H-105 mm
Generic product name: Liquid lipstick
Disclaimer: Colours of the lip makeup may vary due to the differences in computer monitors and phone screen resolutions.
Important: All makeup products that will be shipped will have a shelf-life of minimum 24 months to 36 months.",[],ADD TO BAG
makeup,"LIT Liquid Matte Lipstick - Swinger (Brick Red Shade) | Long Lasting, Smudge-proof, Hydrating Matte Lipstick With Moringa Oil (1.6 ml)",₹299,₹375,5 ratings,https://www.myglamm.com/product/lit-liquid-matte-lipstick-swinger-1-6ml.html,97,Lip Makeup,Liquid Lipstick,"Swinger - A caramel brown shade lipstick that matches whatever mood you're in.
You found The One! Trust us, ladies, this liquid matte lipstick will be your new love! The MyGlamm LIT Liquid Matte Lipstick - Swinger is a caramel brown shade lipstick that gives you soft, kiss-proof lips, no smudges or transfers — just pure, intense colour for up to 12Hrs*! Best of all, MyGlamm LIT Liquid Matte Lipstick is enriched with Moringa Oil that moisturises and smoothens dry, damaged lips. Available in an easy-to-carry pack in 25 versatile shades.
The MyGlamm range is made for the multitasking woman who wants the most out of her makeup and skincare. It's all about glamour that's easy and accessible. Our makeup is rooted in innovation and created with the best skin-friendly ingredients.
Net Weight: 1.6 ml
Manufacturer Detail:
VIVA Cosmetics, C1/1 to 6, Radheshyam Indl. Complex, Asangaon, Shahapur, Thane- 421 601.
Country of Origin: India
Dimensions: B - 13mm*H -105mm
Generic product name: Liquid lipstick
Disclaimer: Colours of the lip makeup may vary due to the differences in computer monitors and phone screen resolutions.
*Based on consumer testing
Important: All makeup products that will be shipped will have a shelf-life of minimum 24 months to 36 months.",[],ADD TO BAG
makeup,"MyGlamm Chromantic Metallic Nail Enamel - Celestial Aura (Copper Brown Shade) | Chamical Free, Chrome Finish & Long Lasting Nail Polish (10ml)",₹199,₹249,5 ratings,https://www.myglamm.com/product/chromantic-metallic-nail-enamel-celestial-aura.html,8,Nail Makeup,Nail Polish,"Key Benefits:
Chrome metallic nail polish  
Long-lasting, no-chip formula
Non-staining polish for healthy nails
Rich colour pay-off in just two coats
Formulated without any harsh chemicals
One-swipe smooth application
MyGlamm Chromantic Metallic Nail Enamel - Celestial Aura is a copper brown shade nail polish that is long-lasting and is formulated without any harsh chemicals. Its one-swipe smooth application gives you rich colour pay-off in just two coats. These chip-resistant and non-staining nail polishes add the perfect splash of color to your usual OOTDs! MyGlamm Chromantic Metallic nail polish brings you rich color pay-off in 16 colorful shades. Try this nail makeup product and give your nails a colorful makeover!
The MyGlamm range is made for the multitasking woman who wants the most out of her makeup and skincare. It's all about glamour that's easy and accessible. Our makeup is rooted in innovation and created with the best skin-friendly ingredients. 
Net Weight: 10ml 
Manufacturer Detail: Kascap Glass Pvt.Ltd. L-47,MIDC Taloja,Dist. - Raigad, Maharashtra, India 410208
M.L.No.:MH/103797
Country of Origin: India
Disclaimer: Colours of the nail makeup may vary due to the differences in computer monitors and phone screen resolutions.
Important: All makeup products that will be shipped will have a shelf-life of 36 months.",[],ADD TO BAG
makeup,"MyGlamm SUPERFOODS Kajal - Umber (Brown Shade) | Long Lasting, Smudge-proof, Waterproof Eye Kajal Pencil with Superfood Extracts (0.35g) ",₹316,₹395,5 ratings,https://www.myglamm.com/product/superfoods-kajal-umber.html,2995,Eye Makeup,Kajal,"Umberis a dark brown shade.
Give It To Me Quick:
Contains nourishing avocado oil extracts
Enriched with Vitamin E & sunflower seed oil
Long-lasting; for upto 12 hours
Intense, smooth pigment
Easy glide on application
Suitable for contact lens wearers
Ophthalmologically & dermatologically tested
Safe to use on waterline
Icons:
Cruelty-free Vegan Paraben-free Phthalate-free SLS-free Alcohol-free Mineral oil-free Gluten-free Contains natural extracts
Tell Me More:
Supercharge your makeup routine with the MyGlamm SUPERFOODS Kajalu0021
Say hello to the kajalyouve always wanted, with a wholesome new twist. Power-packed with the goodness of avocado oil, its the only kajal that delivers long-lasting colour in a single stroke while soothing and protecting your eyes. Contains sunflower seed oil, Vitamin E and goji berry extract as well, which have antioxidant properties.
You wont step out without it. Slip it into your bag and you can transform your entire look with just a flick of your wrist. This retractable kajal pencil is bold, dark, and applies like a dream. Through humid afternoons, bad breakups, irritating contact lenses, sappy movies and rainy days, itll always have your back. With upto 12 hours of waterproof, tear-proof wear, its the BFF thats seen you through it all.
Available in 3 blendable yet smudge-proof shades.
Benefits:
Nourishes eyes:Contains superfood extracts. Avocado oil & sunflower seed oil hydrate and soothe eyes, and goji berry extract has an antioxidant effect.
Safe for contact lens wearers:Ophthalmologically tested, this kajals natural extracts make it safe to use on the waterline without experiencing any irritation.
Glides on smoothly:A creamy formula that glides on effortlessly without tugging at eyes.
Long-lasting: Our MyGlammSUPERFOODS Kajal lasts through the day for upto 12 hours.
Non-transfer: This kajal is smudge-proof, waterproof and transfer-proof.
MyGlamm SUPERFOODS was created for Indian women who wanted beauty products formulated with natural ingredients, and free from unnecessary chemical additives. The range harnesses the power of some of natures best superfoods, with absolutely no nastiesu0021 Handpicked for their efficiency and natural goodness, these skin-friendly superstar ingredients are infused to give you skin and hair thats healthy and nourished.
Net Weight: 0.35 g

Manufacturer Detail:
Schwan Cosmetics Germany GmbH & Co. KG, Schwanweg 1, 90562 Heroldsberg, Germany

Country of Origin: Germany
Generic Product Name: SUPERFOODS Kajal
Disclaimer: Colours of the eye makeup products may vary due to the differences in computer monitors and phone screen resolutions.
Important: All makeup products that will be shipped will have a shelf-life of minimum 5 months to 8 months.",[],ADD TO BAG
makeup,MyGlamm Super Serum Compact - 101N Cream | Skin-Perfecting Hydrating Compact Powder With Hyaluronic Acid & Vitamin E for Skin Protection (9g),₹399,₹499,5 ratings,https://www.myglamm.com/product/myglamm-super-serum-compact-101n-cream-9g.html,53,Face Makeup,Compact,"Meet our skin-perfecting serum compact powder that actively hydrates your skin for a radiant, even complexion. MyGlamm Super Serum Compact Powder powered by Hyaluronic Acid, which can hold 1000X its weight in water, to retain skin moisture. Enhanced with encapsulated technology that ensures smooth coverage and evens out skin complexion effortlessly. 
This serum infused compact powder provides medium buildable coverage that makes it the perfect companion for your everyday go-to makeup. And last but not the least, This super serum compact contains Vitamin E that acts as an antioxidant and protects skin from damage. So dab it on and get a flawless face every day!
The MyGlamm range is made for the multitasking woman who wants the most out of her makeup and skincare. It's all about glamour that's easy and accessible. Our makeup is rooted in innovation and created with the best skin-friendly ingredients.
Caution: For external use only. Do a patch test before use.
Manufacturers Address:
Regi India Cosmetics Pvt. Ltd., Plot No.-9, Sector-5, IIE SIDCUL, Haridwar, Uttarakhand - 249 416
Country of Origin: India
Net Quantity: 9g
Dimensions: L: 74mm * B: 16.5mm * H: 74mm
Generic Name for Product: Super Serum Compact
Disclaimer: Product colours may slightly vary due to photographic lighting sources or monitor/phone screen settings.
Important: All makeup products that will be shipped will have a shelf-life of a minimum of 24 to 36 months.",[],ADD TO BAG
makeup,"MyGlamm Super Serum Foundation - 103W Crème | Serum-Infused, Long Lasting, Water-Resistant Foundation With SPF 30 For Sun Protection (33g)",₹559,₹699,5 ratings,https://www.myglamm.com/product/myglamm-super-serum-foundation-103w-creme.html,53,Face Makeup,Foundation,"Meet our serum-infused, 8 Hr+ long-wear foundation with medium to high buildability. MyGlamm Super Serum Foundation Comes with a soft-focus complex that effortlessly minimizes fine lines to deliver an even, no-shine finish. Powered by magical Hyaluronic Acid, which can hold 1000X its weight in water, to retain skin moisture for comfortable long wear. Water-resistant serum foundation with SPF 30 UV protection. 
This super serum foundation Enriched with Vitamin E to protect your skin from free radical damage. This high-coverage serum infused foundation blends seamlessly makeup for comfortable wear, delivering smooth and even-toned skin for every occasion.
The MyGlamm range is made for the multitasking woman who wants the most out of her makeup and skincare. It's all about glamour that's easy and accessible. Our makeup is rooted in innovation and created with the best skin-friendly ingredients.
Caution: For external use only. Do a patch test before use
Manufacturers Address:
Regi India Cosmetics Pvt. Ltd., Plot No.-9, Sector-5, IIE SIDCUL, Haridwar, Uttarakhand - 249 404
Country of Origin: India
Net Quantity: 33g
Dimensions: L: 47mm * B: 46.4mm * H: 134.5mm
Generic Name for Product: Super Serum Foundation
Disclaimer: Product colours may slightly vary due to photographic lighting sources or monitor/phone screen settings.
Important: All makeup products that will be shipped will have a shelf-life of a minimum of 24 to 36 months.",[],ADD TO BAG
makeup,"MyGlamm Super Serum BB Cream - 201 Pine | BB Cream With Hyaluronic Acid & SPF 50 PA+++ for UVA, UVB Protection & Natural Glow (15g) ",₹199,₹249,5 ratings,https://www.myglamm.com/product/myglamm-super-serum-bb-cream-201-pine-15g.html,106,Face Makeup,Foundation,"Meet our 1st ever skin-perfecting serum BB cream with SPF 50 PA+++ UV protection. Powered by magical Hyaluronic Acid, which can hold 1000X its weight in water, to retain skin moisture as well as add bounce and suppleness. This BB cream is infused with Niacinamide that helps fade dark spots and antioxidant-rich Kakadu Plum that gives your skin a natural glow. The foundation BB cream formula provides a non-cakey, natural-looking, radiant finish. And the cherry on top? It is suitable for all skin types, making it the perfect partner for an everyday makeup look.
The MyGlamm range is made for the multitasking woman who wants the most out of her makeup and skincare. It's all about glamour that's easy and accessible. Our makeup is rooted in innovation and created with the best skin-friendly ingredients.
Manufacturers Address:
Naturis Cosmetics Pvt. Ltd, 1-EPIP, SIDCO Industrial Complex, Bari Brahmana, Jammu (J&K), India - 181 133 M.L.No - JK/21-22/COS-8/334
Country of Origin: India
Net Quantity:15g
Dimensions: L: 43mm * B: 17mm * H: 109mm
Generic Name for Product: Super Serum BB cream
Caution: For external use only. Do a patch test before use.
Important: All makeup products that will be shipped will have a shelf-life of a minimum of 24 to 36 months.",[],ADD TO BAG
makeup,"MyGlamm LIT Liquid Matte Lipstick - Pack of 3 Exclusive Combo | Long Lasting, Smudge-Proof, Hydrating Matte Lipstick Set (1.6ml x 3)",₹618,"₹1,125",5 ratings,https://www.myglamm.com/product/lit-liquid-matte-lipstick-1-6-ml-pack-of-3.html,179,Lip Makeup,Liquid Lipstick,"Give It To Me Quick:
Up to 12Hr* stay
Matte finish lipstick
Enriched with Moringa Oil
Smudge-proof and transfer-proof formula
Smooth application
Highly pigmented
Easy-to-carry pack
Good For You:
✓ Cruelty-free ✓ Vegan ✓ Paraben-free ✓ Alcohol-free ✓Mineral Oil-free
Tell Me More:
You found The One! Trust us, ladies, this liquid matte lipstick will be your new love! The MyGlamm LIT Liquid Matte Lipstick gives you soft, kiss-proof lips, no smudges or transfers — just pure, intense colour for up to 12Hrs*! Best of all, MyGlamm LIT Liquid Matte Lipstick is enriched with Moringa Oil that moisturises and smoothens dry, damaged lips. Available in an easy-to-carry pack in 25 versatile shades. 
Benefits:  
Long-lasting: Up to 12Hr* stay
No smudge or transfer: Stays put for hours, no touch-ups required
Non-drying: Enriched with Moringa Oil for smooth and soft lips
Liquid matte formula: Rich matte finish
Rich pigment: Intense colour pay-off
The MyGlamm range is made for the multitasking woman who wants the most out of her makeup and skincare. It's all about glamour that's easy and accessible. Our makeup is rooted in innovation and created with the best skin-friendly ingredients. 
Manufacturer Detail:
VIVA Cosmetics, C1/1 to 6, Radheshyam Indl. Complex, Asangaon, Shahapur, Thane- 421 601.
Country of Origin: India
Net Weight: 1.6 ml
Dimensions: B - 13mm*H -105mm
Generic product name: Liquid lipstick
Disclaimer: Colours of the lip makeup may vary due to the differences in computer monitors and phone screen resolutions.
*Based on consumer testing
Important: All makeup products that will be shipped will have a shelf-life of minimum 8 months to 12 months.",[],
makeup,Manish Malhotra Soft Matte Lipstick - Violet Dream,₹679,₹799,4.9 ratings,https://www.myglamm.com/product/manish-malhotra-soft-matte-lipstick-violet-dream.html,1000,Lip Makeup,Purple Lipstick,"Violet Dream Lipstick is a deep plum shade lipstick with pink undertones that will take you from desk to dancing. This Manish Malhotra lipstick is also PETA Approved cruelty-free and vegan.

A velvet cream violet lipstick in rich colour thats the dream, isnt it? Manish Malhotra Soft Matte Lipsticks by MyGlamm bring together an absolutely luxurious matte finish violet lipstick with a delightfully creamy texture the best of both worlds! Glides on effortlessly with a light-as-air feel, these soft matte lipsticks are enriched with tropical oil for petal soft, matte pouts.

Benefits:
Soft sheen matte finish
Creamy formula
Enriched with tropical oil for moisturized, healthy lips
Medium-to-full buildable coverage

Enhanced Properties:
Special Silica Micro-Beads that deliver a sensorial creamy feel
Micronized pigments for pure intense colour
Non-greasy with a smooth, velvet and luxurious texture for perfect application
Free of preservatives, D5, mineral oil, talc and UV filter
Vegan-friendly

Manish Malhotra Haute Couture Makeup exclusively by MyGlamm brings you a little bit of couture for everyday glamour carefully curated with India's leading fashion designer, Manish Malhotra.

Net Weight: 4 g

Manufacturer Detail
Regi India Cosmetics Pvt Ltd. C-08 Sara Industrial Estate, Chakrata Road, Rampur, Dehradun-248 197, Uttarakhand.

Country of Origin
Formulated in Italy

Disclaimer: Colours of the lip makeup may vary due to the differences in computer monitors and phone screens.
Important: All makeup products that will be shipped will have a shelf-life of minimum 8 months to 12 months.",[],ADD TO BAG
makeup,"MyGlamm POSE HD Lipstick - Rose Pink (Light Coral Pink Shade) | Long Lasting, Demi-Matte Finish HD Lipstick With Moringa Oil & Vitamin E (4g)",₹509,₹599,4.9 ratings,https://www.myglamm.com/product/pose-hd-lipstick-rose-pink.html,753,Lip Makeup,Pink Lipstick,"Rose Pink is a light coral pink shade lipstick, just right for that no-makeup makeup selfie.

Pucker up ladies, those pouts are about to get a dose of high definition colour. The POSE Matte Lipstick by MyGlamm is matte with moisture, enriched with Moringa oil and Vitamin E for plump, hydrated lips. It also prevents flaking and lends a soft focus effect for your #nofilter selfies.

Benefits:
Demi-Matte finish
Intense colour & coverage
Light-as-air feel
Long-lasting

Enhanced Properties:
Soft focus effect that blurs imperfections
Enriched with Moringa oil & Vitamin E
Paraben-free

MyGlamm presents POSE Camera Ready HD Makeup - Indias first HD makeup line designed with Optical Blurring Technology especially for Indian skin tones.

Net Weight: 4 g

Manufacturer Detail
M/s Viva Cosmetics, R. Indl. Complex, Asangaon, Thane - 421601, Maharashtra,M.L.No.: MH/104671

Country of Origin: India
Generic Product Name: POSE HD Lipstick

Disclaimer: True colour of the makeup may vary slightly due to the differences in computer monitors and phone screens.
Important: All products that will be shipped will have a shelf-life of minimum 24 months to 36 months.","['Deep Pink', 'Nude Mauve']",ADD TO BAG
